epoch 1/20; training objective 0.22851894
epoch 2/20; training objective 0.044074654
epoch 3/20; training objective 0.024787674
epoch 4/20; training objective 0.014741234
epoch 5/20; training objective 0.0086500019
epoch 6/20; training objective 0.0055992746
epoch 7/20; training objective 0.0039623271
epoch 8/20; training objective 0.0030566404
epoch 9/20; training objective 0.0024937429
epoch 10/20; training objective 0.0021569361
epoch 11/20; training objective 0.0019191641
epoch 12/20; training objective 0.0017382509
epoch 13/20; training objective 0.0015915979
epoch 14/20; training objective 0.0014770236
epoch 15/20; training objective 0.0013680233
epoch 16/20; training objective 0.0012679786
epoch 17/20; training objective 0.0011811696
epoch 18/20; training objective 0.0010938942
epoch 19/20; training objective 0.0010168033
epoch 20/20; training objective 0.00093712062
