epoch 1/20; training objective 0.18101959
epoch 2/20; training objective 0.032475502
epoch 3/20; training objective 0.018259107
epoch 4/20; training objective 0.0097606889
epoch 5/20; training objective 0.0056143227
epoch 6/20; training objective 0.0037546567
epoch 7/20; training objective 0.0029239004
epoch 8/20; training objective 0.0024641533
epoch 9/20; training objective 0.0021674489
epoch 10/20; training objective 0.0019683711
epoch 11/20; training objective 0.001805285
epoch 12/20; training objective 0.0016591129
epoch 13/20; training objective 0.001521699
epoch 14/20; training objective 0.0014025335
epoch 15/20; training objective 0.0012985132
epoch 16/20; training objective 0.0012039266
epoch 17/20; training objective 0.0010850369
epoch 18/20; training objective 0.00097964435
epoch 19/20; training objective 0.00087652925
epoch 20/20; training objective 0.000781062
