epoch 1/20; training objective 0.13031295
epoch 2/20; training objective 0.0090820444
epoch 3/20; training objective 0.0030396839
epoch 4/20; training objective 0.0022087737
epoch 5/20; training objective 0.0018566881
epoch 6/20; training objective 0.0016251175
epoch 7/20; training objective 0.0014361609
epoch 8/20; training objective 0.0012384193
epoch 9/20; training objective 0.0010975994
epoch 10/20; training objective 0.0010023825
epoch 11/20; training objective 0.00090109306
epoch 12/20; training objective 0.00083858286
epoch 13/20; training objective 0.00074355912
epoch 14/20; training objective 0.00069017209
epoch 15/20; training objective 0.00063301832
epoch 16/20; training objective 0.00059045617
epoch 17/20; training objective 0.00056449471
epoch 18/20; training objective 0.00053728074
epoch 19/20; training objective 0.00053251874
epoch 20/20; training objective 0.00048492562
