epoch 1/20; training objective 0.20149922
epoch 2/20; training objective 0.041904887
epoch 3/20; training objective 0.020012002
epoch 4/20; training objective 0.010015047
epoch 5/20; training objective 0.0059856383
epoch 6/20; training objective 0.0044591303
epoch 7/20; training objective 0.0037496252
epoch 8/20; training objective 0.0033046305
epoch 9/20; training objective 0.0029940657
epoch 10/20; training objective 0.0027270334
epoch 11/20; training objective 0.0024774202
epoch 12/20; training objective 0.0022640198
epoch 13/20; training objective 0.0020575498
epoch 14/20; training objective 0.0018631243
epoch 15/20; training objective 0.0016981823
epoch 16/20; training objective 0.0015354838
epoch 17/20; training objective 0.0013798536
epoch 18/20; training objective 0.0012384087
epoch 19/20; training objective 0.001128659
epoch 20/20; training objective 0.001038286
