epoch 1/20; training objective 0.087170556
epoch 2/20; training objective 0.0065318533
epoch 3/20; training objective 0.0032317049
epoch 4/20; training objective 0.002489291
epoch 5/20; training objective 0.0019672182
epoch 6/20; training objective 0.0015876841
epoch 7/20; training objective 0.001316095
epoch 8/20; training objective 0.0010564993
epoch 9/20; training objective 0.00094293884
epoch 10/20; training objective 0.00086907393
epoch 11/20; training objective 0.00079514319
epoch 12/20; training objective 0.00072208738
epoch 13/20; training objective 0.00067868282
epoch 14/20; training objective 0.00058970937
epoch 15/20; training objective 0.00060006949
epoch 16/20; training objective 0.00058951587
epoch 17/20; training objective 0.00050913462
epoch 18/20; training objective 0.00053920817
epoch 19/20; training objective 0.00050935243
epoch 20/20; training objective 0.00047306828
