epoch 1/20; training objective 0.091060561
epoch 2/20; training objective 0.023612482
epoch 3/20; training objective 0.018503364
epoch 4/20; training objective 0.016248143
epoch 5/20; training objective 0.015161834
epoch 6/20; training objective 0.014435055
epoch 7/20; training objective 0.013829966
epoch 8/20; training objective 0.013727538
epoch 9/20; training objective 0.013390129
epoch 10/20; training objective 0.013201882
epoch 11/20; training objective 0.012834352
epoch 12/20; training objective 0.012857131
epoch 13/20; training objective 0.012640861
epoch 14/20; training objective 0.012335716
epoch 15/20; training objective 0.012222408
epoch 16/20; training objective 0.012203512
epoch 17/20; training objective 0.012203054
epoch 18/20; training objective 0.011786248
epoch 19/20; training objective 0.011662268
epoch 20/20; training objective 0.011671139
