epoch 1/20; training objective 0.24915927
epoch 2/20; training objective 0.082355718
epoch 3/20; training objective 0.062861556
epoch 4/20; training objective 0.0553715
epoch 5/20; training objective 0.051043375
epoch 6/20; training objective 0.048252537
epoch 7/20; training objective 0.046327813
epoch 8/20; training objective 0.044885219
epoch 9/20; training objective 0.04348231
epoch 10/20; training objective 0.042558089
epoch 11/20; training objective 0.041650375
epoch 12/20; training objective 0.040873508
epoch 13/20; training objective 0.040290311
epoch 14/20; training objective 0.039656434
epoch 15/20; training objective 0.039115242
epoch 16/20; training objective 0.038658362
epoch 17/20; training objective 0.038316241
epoch 18/20; training objective 0.037911438
epoch 19/20; training objective 0.037616449
epoch 20/20; training objective 0.037293643
