epoch 1/20; training objective 0.20337708
epoch 2/20; training objective 0.043281245
epoch 3/20; training objective 0.030883622
epoch 4/20; training objective 0.025360622
epoch 5/20; training objective 0.02212227
epoch 6/20; training objective 0.020027303
epoch 7/20; training objective 0.018494883
epoch 8/20; training objective 0.017505244
epoch 9/20; training objective 0.016640877
epoch 10/20; training objective 0.015918301
epoch 11/20; training objective 0.015342155
epoch 12/20; training objective 0.014938772
epoch 13/20; training objective 0.014563817
epoch 14/20; training objective 0.014229132
epoch 15/20; training objective 0.014039226
epoch 16/20; training objective 0.01375771
epoch 17/20; training objective 0.013672719
epoch 18/20; training objective 0.013375475
epoch 19/20; training objective 0.01324552
epoch 20/20; training objective 0.013070518
