epoch 1/20; training objective 0.12631642
epoch 2/20; training objective 0.05383376
epoch 3/20; training objective 0.047134522
epoch 4/20; training objective 0.044369178
epoch 5/20; training objective 0.042326019
epoch 6/20; training objective 0.041138858
epoch 7/20; training objective 0.039783142
epoch 8/20; training objective 0.038562657
epoch 9/20; training objective 0.037814449
epoch 10/20; training objective 0.037444919
epoch 11/20; training objective 0.03643096
epoch 12/20; training objective 0.036090554
epoch 13/20; training objective 0.035476874
epoch 14/20; training objective 0.034836549
epoch 15/20; training objective 0.034259779
epoch 16/20; training objective 0.033460029
epoch 17/20; training objective 0.033290282
epoch 18/20; training objective 0.03265955
epoch 19/20; training objective 0.03193049
epoch 20/20; training objective 0.031119387
