epoch 1/20; training objective 0.11355593
epoch 2/20; training objective 0.010308114
epoch 3/20; training objective 0.0030828729
epoch 4/20; training objective 0.0018991919
epoch 5/20; training objective 0.0014539836
epoch 6/20; training objective 0.001240286
epoch 7/20; training objective 0.0010601009
epoch 8/20; training objective 0.00092611827
epoch 9/20; training objective 0.00081662417
epoch 10/20; training objective 0.00069636291
epoch 11/20; training objective 0.00057223045
epoch 12/20; training objective 0.00050186344
epoch 13/20; training objective 0.00040419592
epoch 14/20; training objective 0.00036879722
epoch 15/20; training objective 0.00028363195
epoch 16/20; training objective 0.00025153986
epoch 17/20; training objective 0.0002309202
epoch 18/20; training objective 0.0002246316
epoch 19/20; training objective 0.00020794177
epoch 20/20; training objective 0.0002064426
