epoch 1/20; training objective 0.10083177
epoch 2/20; training objective 0.0094408032
epoch 3/20; training objective 0.003279618
epoch 4/20; training objective 0.002189802
epoch 5/20; training objective 0.0017055403
epoch 6/20; training objective 0.001465879
epoch 7/20; training objective 0.0012235675
epoch 8/20; training objective 0.0010412262
epoch 9/20; training objective 0.00088814788
epoch 10/20; training objective 0.00072214966
epoch 11/20; training objective 0.0005941218
epoch 12/20; training objective 0.00047215445
epoch 13/20; training objective 0.00038504512
epoch 14/20; training objective 0.00031964221
epoch 15/20; training objective 0.00027539134
epoch 16/20; training objective 0.00024453074
epoch 17/20; training objective 0.00022136605
epoch 18/20; training objective 0.00020458714
epoch 19/20; training objective 0.00019555415
epoch 20/20; training objective 0.00018324273
