epoch 1/20; training objective 0.17349187
epoch 2/20; training objective 0.042563163
epoch 3/20; training objective 0.03060848
epoch 4/20; training objective 0.025783777
epoch 5/20; training objective 0.022874452
epoch 6/20; training objective 0.020908703
epoch 7/20; training objective 0.019547127
epoch 8/20; training objective 0.018474455
epoch 9/20; training objective 0.017632071
epoch 10/20; training objective 0.016918822
epoch 11/20; training objective 0.016298668
epoch 12/20; training objective 0.015838704
epoch 13/20; training objective 0.015276249
epoch 14/20; training objective 0.014963585
epoch 15/20; training objective 0.014698392
epoch 16/20; training objective 0.014303265
epoch 17/20; training objective 0.014133511
epoch 18/20; training objective 0.013908575
epoch 19/20; training objective 0.013622127
epoch 20/20; training objective 0.013485374
