epoch 1/20; training objective 0.2531888
epoch 2/20; training objective 0.052824359
epoch 3/20; training objective 0.024403753
epoch 4/20; training objective 0.012267844
epoch 5/20; training objective 0.0073024531
epoch 6/20; training objective 0.0050807974
epoch 7/20; training objective 0.0040188657
epoch 8/20; training objective 0.0034419282
epoch 9/20; training objective 0.0030670003
epoch 10/20; training objective 0.0027680587
epoch 11/20; training objective 0.0025355172
epoch 12/20; training objective 0.0023205331
epoch 13/20; training objective 0.002139458
epoch 14/20; training objective 0.0019748179
epoch 15/20; training objective 0.0018118291
epoch 16/20; training objective 0.0016770075
epoch 17/20; training objective 0.0015289822
epoch 18/20; training objective 0.0013982504
epoch 19/20; training objective 0.0012691283
epoch 20/20; training objective 0.0011591673
