epoch 1/20; training objective 0.2858369
epoch 2/20; training objective 0.060125056
epoch 3/20; training objective 0.028767122
epoch 4/20; training objective 0.013456781
epoch 5/20; training objective 0.0071920483
epoch 6/20; training objective 0.0046832426
epoch 7/20; training objective 0.0036142562
epoch 8/20; training objective 0.0030685857
epoch 9/20; training objective 0.0027225472
epoch 10/20; training objective 0.0024729458
epoch 11/20; training objective 0.0022797505
epoch 12/20; training objective 0.0021054649
epoch 13/20; training objective 0.0019525455
epoch 14/20; training objective 0.0018127351
epoch 15/20; training objective 0.0016637427
epoch 16/20; training objective 0.001535941
epoch 17/20; training objective 0.001404287
epoch 18/20; training objective 0.0012839315
epoch 19/20; training objective 0.0011745739
epoch 20/20; training objective 0.0010785339
