epoch 1/20; training objective 0.083250281
epoch 2/20; training objective 0.025177152
epoch 3/20; training objective 0.019806416
epoch 4/20; training objective 0.017487538
epoch 5/20; training objective 0.015844335
epoch 6/20; training objective 0.014875849
epoch 7/20; training objective 0.014237326
epoch 8/20; training objective 0.013775536
epoch 9/20; training objective 0.013553002
epoch 10/20; training objective 0.013124356
epoch 11/20; training objective 0.012904559
epoch 12/20; training objective 0.012715335
epoch 13/20; training objective 0.012658495
epoch 14/20; training objective 0.012377503
epoch 15/20; training objective 0.012138931
epoch 16/20; training objective 0.01200798
epoch 17/20; training objective 0.011999191
epoch 18/20; training objective 0.011802462
epoch 19/20; training objective 0.012031337
epoch 20/20; training objective 0.011762711
