epoch 1/20; training objective 0.077472918
epoch 2/20; training objective 0.006601806
epoch 3/20; training objective 0.0025509288
epoch 4/20; training objective 0.0017971216
epoch 5/20; training objective 0.0014580254
epoch 6/20; training objective 0.0012059383
epoch 7/20; training objective 0.00098337338
epoch 8/20; training objective 0.00078124182
epoch 9/20; training objective 0.00059868712
epoch 10/20; training objective 0.00044713371
epoch 11/20; training objective 0.00035157193
epoch 12/20; training objective 0.00028846451
epoch 13/20; training objective 0.00025569381
epoch 14/20; training objective 0.0002426461
epoch 15/20; training objective 0.00021220495
epoch 16/20; training objective 0.00021240779
epoch 17/20; training objective 0.00021205924
epoch 18/20; training objective 0.00019595792
epoch 19/20; training objective 0.00020045761
epoch 20/20; training objective 0.00015989312
