epoch 1/20; training objective 0.13214782
epoch 2/20; training objective 0.051793418
epoch 3/20; training objective 0.045853636
epoch 4/20; training objective 0.043109628
epoch 5/20; training objective 0.041185969
epoch 6/20; training objective 0.039715737
epoch 7/20; training objective 0.038947852
epoch 8/20; training objective 0.038271624
epoch 9/20; training objective 0.037144786
epoch 10/20; training objective 0.037068824
epoch 11/20; training objective 0.036474808
epoch 12/20; training objective 0.035780276
epoch 13/20; training objective 0.035359873
epoch 14/20; training objective 0.034911118
epoch 15/20; training objective 0.034433586
epoch 16/20; training objective 0.034202085
epoch 17/20; training objective 0.03351283
epoch 18/20; training objective 0.032679193
epoch 19/20; training objective 0.032534743
epoch 20/20; training objective 0.031941598
