epoch 1/20; training objective 0.17284255
epoch 2/20; training objective 0.044632874
epoch 3/20; training objective 0.033452184
epoch 4/20; training objective 0.028036584
epoch 5/20; training objective 0.024561322
epoch 6/20; training objective 0.022128865
epoch 7/20; training objective 0.020487983
epoch 8/20; training objective 0.019182904
epoch 9/20; training objective 0.018219436
epoch 10/20; training objective 0.017428984
epoch 11/20; training objective 0.016644177
epoch 12/20; training objective 0.015968599
epoch 13/20; training objective 0.015364493
epoch 14/20; training objective 0.014881162
epoch 15/20; training objective 0.014510566
epoch 16/20; training objective 0.014161932
epoch 17/20; training objective 0.013997948
epoch 18/20; training objective 0.013773374
epoch 19/20; training objective 0.013655171
epoch 20/20; training objective 0.013434569
