epoch 1/20; training objective 0.26900966
epoch 2/20; training objective 0.089414353
epoch 3/20; training objective 0.064676072
epoch 4/20; training objective 0.05591291
epoch 5/20; training objective 0.050756895
epoch 6/20; training objective 0.047766772
epoch 7/20; training objective 0.045746217
epoch 8/20; training objective 0.044271605
epoch 9/20; training objective 0.043052274
epoch 10/20; training objective 0.042008229
epoch 11/20; training objective 0.041167481
epoch 12/20; training objective 0.040622717
epoch 13/20; training objective 0.04008083
epoch 14/20; training objective 0.039451067
epoch 15/20; training objective 0.039098555
epoch 16/20; training objective 0.038529792
epoch 17/20; training objective 0.038183557
epoch 18/20; training objective 0.037849665
epoch 19/20; training objective 0.037483147
epoch 20/20; training objective 0.037269711
