epoch 1/20; training objective 0.14144037
epoch 2/20; training objective 0.052941091
epoch 3/20; training objective 0.045833389
epoch 4/20; training objective 0.042957474
epoch 5/20; training objective 0.040992936
epoch 6/20; training objective 0.039723385
epoch 7/20; training objective 0.038845884
epoch 8/20; training objective 0.038113894
epoch 9/20; training objective 0.037577862
epoch 10/20; training objective 0.036361258
epoch 11/20; training objective 0.035961955
epoch 12/20; training objective 0.035488492
epoch 13/20; training objective 0.035000188
epoch 14/20; training objective 0.034156141
epoch 15/20; training objective 0.033597893
epoch 16/20; training objective 0.033007845
epoch 17/20; training objective 0.032375956
epoch 18/20; training objective 0.031892402
epoch 19/20; training objective 0.030906882
epoch 20/20; training objective 0.030189255
